,created,sentiment_score
0,1640996258,4.0
1,1640998555,3.0
2,1640999166,11.0
3,1641000037,2.0
4,1641006460,1.0
5,1641010349,3.0
6,1641012415,6.0
7,1641013642,3.0
8,1641017483,1.0
9,1641022446,2.0
10,1641024387,-3.0
11,1641028575,1.0
12,1641031108,12.0
13,1641031762,0.0
14,1641032824,8.0
15,1641034038,11.0
16,1641034517,5.0
17,1641034861,3.0
18,1641036326,-1.0
19,1641037867,3.0
20,1641041694,-1.0
21,1641043523,1.0
22,1641046493,4.0
23,1641046565,4.0
24,1641048606,12.0
25,1641048928,13.0
26,1641051647,2.0
27,1641052644,0.0
28,1641054144,23.0
29,1641054986,14.0
30,1641055659,8.0
31,1641056506,-1.0
32,1641056647,0.0
33,1641058253,5.0
34,1641058789,0.0
35,1641059804,1.0
36,1641060106,1.0
37,1641060542,-1.0
38,1641063667,1.0
39,1641064977,1.0
40,1641065190,9.0
41,1641065443,-6.0
42,1641065524,5.0
43,1641065726,-4.0
44,1641065990,4.0
45,1641067086,11.0
46,1641067323,-1.0
47,1641068291,3.0
48,1641069067,3.0
49,1641069079,11.0
50,1641069124,9.0
51,1641072535,2.0
52,1641072597,2.0
53,1641072886,1.0
54,1641078955,0.0
55,1641079812,3.0
56,1641080391,3.0
57,1641082195,6.0
58,1641082242,6.0
59,1641082571,2.0
60,1641082575,3.0
61,1641084392,0.0
62,1641084764,3.0
63,1641085348,-2.0
64,1641088059,1.0
65,1641088345,4.0
66,1641088928,19.0
67,1641089340,10.0
68,1641090664,4.0
69,1641092065,2.0
70,1641093664,1.0
71,1641094071,-1.0
72,1641095734,0.0
73,1641096188,0.0
74,1641099707,3.0
75,1641101067,4.0
76,1641109926,1.0
77,1641112443,4.0
78,1641112534,5.0
79,1641112635,3.0
80,1641114952,4.0
81,1641115223,6.0
82,1641115852,2.0
83,1641118736,20.0
84,1641120187,9.0
85,1641120269,5.0
86,1641121534,6.0
87,1641123776,12.0
88,1641125830,5.0
89,1641134929,-2.0
90,1641141075,2.0
91,1641145782,0.0
92,1641147198,0.0
93,1641148059,0.0
94,1641148219,10.0
95,1641148546,0.0
96,1641150227,4.0
97,1641150845,3.0
