term,sentiment
a,0
a.d.,0
a.k.a.,0
a.m.,0
aardvark,0
abaci,0
aback,-1
abacus,0
abaft,0
abalone,0
abandon,-1
abandoned,-2
abandonment,-2
abase,-1
abasement,-1
abash,0
abashed,0
abate,0
abatement,0
abattoir,0
abbess,0
abbey,0
abbot,0
abbr.,0
abbreviate,0
abbreviation,0
abdicate,0
abdication,-1
abdomen,0
abdominal,0
abduct,-2
abduction,-2
abductor,-2
abeam,0
abed,0
aberrant,-1
aberration,-1
abet,-1
abeyance,0
abhor,-3
abhorrence,-2
abhorrent,-3
abide,0
abiding,2
ability,1
abject,-2
abjectly,-2
abjure,0
ablaze,0
able,2
able-bodied,2
ably,1
abnegation,-2
abnormal,-1
abnormality,-1
abnormally,-1
aboard,0
abode,0
abolish,0
abolition,-1
abolitionist,0
abominable,-2
abominably,-2
abominate,-3
abomination,-3
aboriginal,0
aborigine,0
abort,0
abortion,-1
abortionist,0
abortive,-1
abound,1
about,0
about-face,0
above,1
aboveboard,2
abracadabra,0
abrade,0
abrasion,-1
abrasive,-2
abrasively,-1
abreast,0
abridge,0
abridgement,0
abridgment,0
abroad,0
abrogate,0
abrogation,-2
abrupt,-1
abruptly,-1
abruptness,-1
abscess,-2
abscessed,-2
abscond,-2
absence,0
absent,-1
absentee,-1
absenteeism,-1
absently,0
absinthe,0
absolute,0
absolutely,1
absolution,1
absolutism,0
absolve,1
absorb,0
absorbency,0
absorbent,0
absorbing,1
absorption,0
abstain,0
abstainer,0
abstemious,2
abstention,0
abstinence,1
abstinent,0
abstract,0
abstracted,0
abstraction,0
abstractly,0
abstractness,0
abstruse,0
abstrusely,0
abstruseness,0
absurd,-1
absurdity,-1
absurdly,-1
abundance,2
abundant,2
abundantly,1
abuse,-2
abusive,-2
abusively,-2
abusiveness,-2
abut,0
abutment,0
abysmal,-3
abysmally,-3
abyss,-1
acacia,0
academia,0
academic,0
academically,0
academician,0
academy,0
accede,0
accelerate,0
acceleration,0
accelerator,0
accent,0
accentuate,0
accentuation,0
accept,1
acceptability,0
acceptable,1
acceptably,1
acceptance,1
access,0
accessibility,0
accessible,1
accessibly,0
accession,0
accessory,0
accident,-2
accidental,0
accidentally,0
accident-prone,-1
acclaim,1
acclamation,3
acclimate,0
acclimation,0
acclimatization,0
acclimatize,0
accolade,2
accommodate,1
accommodating,1
accommodation,0
accommodations,0
accompaniment,0
accompanist,0
accompany,0
accomplice,-1
accomplish,1
accomplished,2
accomplishment,2
accord,0
accordance,0
accordingly,0
accordion,0
accost,-1
account,0
accountability,0
accountable,1
accountant,0
accounting,0
accouterments,0
accredit,0
accreditation,0
accrue,0
acct.,0
accumulate,0
accumulation,0
accumulative,0
accuracy,0
accurate,2
accurately,2
accurateness,0
accursed,-2
accusation,-2
accusative,0
accusatory,-2
accuse,-1
accused,-2
accuser,-1
accusingly,-2
accustom,0
accustomed,0
ace,3
acerbic,-1
acerbity,-1
acetaminophen,0
acetate,0
acetone,0
acetylene,0
ache,-1
achievable,1
achieve,1
achievement,2
achiever,1
achoo,0
achy,-1
acid,0
acidic,-1
acidify,0
acidity,-1
acidly,-1
acknowledge,0
acknowledgement,0
acknowledgment,0
acme,0
acne,-1
acolyte,0
acorn,0
acoustic,0
acoustical,0
acoustically,0
acoustics,0
acquaint,0
acquaintance,0
acquiesce,0
acquiescence,0
acquiescent,0
acquire,0
acquirement,0
acquisition,0
